image_id,criterion,cluster_id
2777198.jpg,color_scheme,Vibrant And Colorful
204643.jpg,color_scheme,Warm And Earthy Tones
1438054.jpg,color_scheme,Warm And Earthy Tones
1266914.jpg,color_scheme,Vibrant With Monochromatic Elements
43060.jpg,color_scheme,Warm And Earthy Tones
17835.jpg,color_scheme,Warm And Earthy Tones
221291.jpg,color_scheme,Warm And Earthy Tones
81547.jpg,color_scheme,Vibrant And Colorful
3345486.jpg,color_scheme,Monochromatic Color Scheme
2367255.jpg,color_scheme,Warm And Earthy Tones
920014.jpg,color_scheme,Warm And Earthy Tones
116205.jpg,color_scheme,Vibrant And Colorful
331185.jpg,color_scheme,Warm And Earthy Tones
2147574.jpg,color_scheme,Warm And Earthy Tones
3353357.jpg,color_scheme,Warm And Earthy Tones
3805904.jpg,color_scheme,Vibrant With Monochromatic Elements
2228274.jpg,color_scheme,Vibrant With Monochromatic Elements
2478048.jpg,color_scheme,Warm And Earthy Tones
1593883.jpg,color_scheme,Vibrant And Colorful
2941936.jpg,color_scheme,Earthy And Natural
2055421.jpg,color_scheme,Warm And Earthy Tones
1653147.jpg,color_scheme,Warm And Earthy Tones
2323393.jpg,color_scheme,Unknown
2860692.jpg,color_scheme,Warm And Earthy Tones
297526.jpg,color_scheme,Vibrant And Colorful
162813.jpg,color_scheme,Vibrant With Monochromatic Elements
3433392.jpg,color_scheme,Warm And Earthy Tones
3712855.jpg,color_scheme,Warm And Earthy Tones
528024.jpg,color_scheme,Vibrant And Colorful
3257568.jpg,color_scheme,Warm And Earthy Tones
377092.jpg,color_scheme,Vibrant With Monochromatic Elements
2563550.jpg,color_scheme,Vibrant And Colorful
1232408.jpg,color_scheme,Warm And Earthy Tones
1258212.jpg,color_scheme,Unknown
360650.jpg,color_scheme,Warm And Earthy Tones
3048399.jpg,color_scheme,Vibrant With Monochromatic Elements
883821.jpg,color_scheme,Warm And Earthy Tones
1294920.jpg,color_scheme,Warm And Earthy Tones
1994172.jpg,color_scheme,Vibrant And Colorful
898352.jpg,color_scheme,Warm And Earthy Tones
1599908.jpg,color_scheme,Warm And Earthy Tones
2778816.jpg,color_scheme,Warm And Earthy Tones
2036876.jpg,color_scheme,Monochromatic Color Scheme
2653908.jpg,color_scheme,Warm And Earthy Tones
707760.jpg,color_scheme,Vibrant And Colorful
1742446.jpg,color_scheme,Vibrant With Monochromatic Elements
938063.jpg,color_scheme,Warm And Earthy Tones
2454716.jpg,color_scheme,Monochromatic Color Scheme
191302.jpg,color_scheme,Warm And Earthy Tones
1482554.jpg,color_scheme,Warm And Earthy Tones
3719459.jpg,color_scheme,Warm And Earthy Tones
3637618.jpg,color_scheme,Warm And Earthy Tones
2656659.jpg,color_scheme,Monochromatic Color Scheme
365631.jpg,color_scheme,Warm And Earthy Tones
3799381.jpg,color_scheme,Vibrant With Monochromatic Elements
3347915.jpg,color_scheme,Warm And Earthy Tones
3287609.jpg,color_scheme,Vibrant And Colorful
1278456.jpg,color_scheme,Warm And Earthy Tones
380024.jpg,color_scheme,Warm And Earthy Tones
1247495.jpg,color_scheme,Unknown
32666.jpg,color_scheme,Warm And Earthy Tones
2725340.jpg,color_scheme,Warm And Earthy Tones
1184087.jpg,color_scheme,Vibrant And Colorful
619413.jpg,color_scheme,Warm And Earthy Tones
963669.jpg,color_scheme,Warm And Earthy Tones
3137442.jpg,color_scheme,Warm And Earthy Tones
3425912.jpg,color_scheme,Warm And Earthy Tones
2464792.jpg,color_scheme,Warm And Earthy Tones
778875.jpg,color_scheme,Vibrant With Monochromatic Elements
2822696.jpg,color_scheme,Warm And Earthy Tones
291516.jpg,color_scheme,Warm And Earthy Tones
1041300.jpg,color_scheme,Vibrant And Colorful
3453323.jpg,color_scheme,Warm And Earthy Tones
3264723.jpg,color_scheme,Warm And Earthy Tones
3644948.jpg,color_scheme,Warm And Earthy Tones
1290485.jpg,color_scheme,Vibrant Color Scheme
1266239.jpg,color_scheme,Warm And Earthy Tones
2150887.jpg,color_scheme,Monochromatic Color Scheme
3369165.jpg,color_scheme,Warm And Earthy Tones
2091649.jpg,color_scheme,Vibrant With Monochromatic Elements
416339.jpg,color_scheme,Vibrant And Colorful
2140776.jpg,color_scheme,Warm And Earthy Tones
1411472.jpg,color_scheme,Vibrant And Colorful
3901703.jpg,color_scheme,Vibrant With Monochromatic Elements
2802381.jpg,color_scheme,Monochromatic Color Scheme
1088723.jpg,color_scheme,Warm And Earthy Tones
125669.jpg,color_scheme,Warm And Earthy Tones
3621153.jpg,color_scheme,Warm And Earthy Tones
859685.jpg,color_scheme,Monochromatic Color Scheme
2504302.jpg,color_scheme,Warm And Earthy Tones
2582934.jpg,color_scheme,Vibrant And Colorful
3882120.jpg,color_scheme,Warm And Earthy Tones
1043579.jpg,color_scheme,Warm And Earthy Tones
122339.jpg,color_scheme,Vibrant And Colorful
3840305.jpg,color_scheme,Monochromatic Color Scheme
1579317.jpg,color_scheme,Warm And Earthy Tones
2390235.jpg,color_scheme,Warm And Earthy Tones
2844166.jpg,color_scheme,Vibrant With Monochromatic Elements
1587932.jpg,color_scheme,Vibrant With Monochromatic Elements
1353969.jpg,color_scheme,Warm And Earthy Tones
2777198.jpg,composition_style,Intricate
204643.jpg,composition_style,Unknown
1438054.jpg,composition_style,Visually Appealing
1266914.jpg,composition_style,Visually Appealing
43060.jpg,composition_style,Intricate
17835.jpg,composition_style,Simple
221291.jpg,composition_style,Visually Appealing
81547.jpg,composition_style,Unknown
